OTT,오리지널,제목,유형,공개일,출연진,장르,content_id
티빙,오리지널,대리수능,시리즈,2026-11-19,"배현성, 차강윤, 박윤호, 엄지원, 박혁권","범죄, 미스터리, 드라마",tmdb-tving-tv-303552
티빙,,100일의 거짓말,드라마,2026-10-10,"김유정, 박진영, 김현주, 이무생, 진선규","드라마, 시대극 #첩보 #로맨스",tvingads-tving-100일의거짓말
티빙,오리지널,원수는 외야석에서♥,예능,2026-09-14,"이용진, 황재균, 정예인","예능, 연애 #리얼리티",tvingads-tving-원수는외야석에서♥
티빙,오리지널,로또 1등도 출근합니다,시리즈,2026-09-10,"이준혁, 서현우, 오대환, 옥자연",Sci-Fi & Fantasy,tmdb-tving-tv-294636
티빙,오리지널,천만기인쇼,예능,2026-09-01,"강호동, 붐","Reality, 가족",tmdb-tving-tv-333544
티빙,,포핸즈,드라마,2026-08-29,"송강, 이준영, 장규리, 김주헌","드라마, 로맨스 #청춘 #성장",tvingads-tving-포핸즈
웨이브,오리지널,하절기,시리즈,2026-08-27,"김도민, 성인호, 임영민, 한종규, 박현지",드라마,tmdb-wavve-tv-321984
티빙,오리지널,신병4 : 사보타주,드라마,2026-08-24,"김민호, 김동준, 오대환, 이현균, 이원정, 남태우, 이수지, 김요한, 이충구, ...","드라마, 밀리터리 #블랙코미디",tvingads-tving-신병4:사보타주
티빙,오리지널,스트릿 월드 파이터: 디렉터스 워,예능,2026-08-18,성한빈,Reality,tmdb-tving-tv-332179
티빙,오리지널,센터전쟁 가왕쇼,예능,2026-08-11,"전유진, 박서진, 홍지윤","예능, 서바이벌",tvingads-tving-센터전쟁가왕쇼
웨이브,오리지널,팬덤 스테이지,시리즈,2026-08-05,윤두준,,tmdb-wavve-tv-330268
티빙,,최애의 사원,드라마,2026-08-03,"강훈, 김혜준, 차우민","드라마, 로맨스 #코미디 #오피스",tvingads-tving-최애의사원
웨이브,,최애의 사원,드라마,2026-08-03,"강훈, 김혜준, 차우민","드라마, 로맨스 #코미디 #오피스",tvingads-wavve-최애의사원
티빙,,짐쌀라비움,예능,2026-08-01,"원지, 가비, 이시안, 하리무","예능, 리얼리티",tvingads-tving-짐쌀라비움
웨이브,,짐쌀라비움,예능,2026-08-01,"원지, 가비, 이시안, 하리무","예능, 리얼리티",tvingads-wavve-짐쌀라비움
웨이브,오리지널,귀신 잡는 해병대,예능,2026-07-31,"곽범, 그리, 송재희",Reality,tmdb-wavve-tv-330388
티빙,오리지널,우주떡집,예능,2026-07-31,"이은지, 이영지, 미미, 안유진","예능, 리얼리티",tvingads-tving-우주떡집
티빙,오리지널,언니네 산지직송3,예능,2026-07-30,"염정아, 김선영, 강유석, 노윤서","예능, 리얼리티",tvingads-tving-언니네산지직송3
티빙,오리지널,오싹한 연애 스페셜 요약,시리즈,2026-07-20,박은빈,,tmdb-tving-tv-329988
티빙,,오싹한 연애,드라마,2026-07-18,"박은빈, 양세종, 옹성우","드라마, 로맨스",tvingads-tving-오싹한연애
티빙,오리지널,그대에게 드림,드라마,2026-07-13,"황인엽, 이혜리, 백성철, 이열음","드라마, 로맨스",tvingads-tving-그대에게드림
웨이브,오리지널,피의 게임X,예능,2026-07-03,"정근우, 이상민, 박지민, Lee Tae-gyun, Lee Jin-hyung",Reality,tmdb-wavve-tv-327298
웨이브,오리지널,검사실의 제안,시리즈,2026-06-25,"박시우, 윤도건, 김정태, 조민규, 서한결","미스터리, 범죄, 드라마",tmdb-wavve-tv-322055
